UserID,NomComplet,Email,Pays,Langue,DateInscription,PagesVisitées,TempsTotal (sec),AjoutPanier,AjoutWishlist,ProduitsConsultés,ProduitsAchetés,PromosConsultées,DélaiEntreVisites (jours),SourceTrafic
1,Antoinette Rivière,jacquelinegonzalez@example.org,Pakistan,Wolof,2024-05-18,5,277,0,0,2,0,0,3,Recherche Organique
2,Marine Guibert,julienandre@example.net,Martinique,Kannada,2024-04-15,13,849,3,1,12,2,5,16,Direct
3,Aurélie Fischer,gilletzacharie@example.org,Suriname,Dzongkha,2024-10-19,11,802,3,0,8,0,3,17,Publicité
4,Zoé Renault,jdescamps@example.org,Féroé (Îles),Faroese,2024-06-10,3,198,1,0,2,1,0,0,Réseaux Sociaux
5,Étienne Pereira,barreodette@example.net,Territoire britannique de l'océan Indien,Chechen,2024-07-11,6,1000,0,0,5,0,4,3,Réseaux Sociaux
6,Jeannine-Gabrielle Dos Santos,delattrelaurence@example.net,Qatar,Samoan,2024-08-21,7,429,2,0,7,0,3,5,Réseaux Sociaux
7,Juliette de la Maillet,cjacquot@example.net,Libye,Ido,2024-05-02,1,151,0,0,0,0,0,28,Publicité
8,Charlotte Riou-Joseph,catherinebarre@example.org,Égypte,Japanese,2024-10-09,12,484,5,1,7,5,0,3,Recherche Organique
9,Alfred Letellier,qda-costa@example.org,Irlande,Indonesian,2024-03-16,15,1213,3,2,14,2,5,9,Publicité
10,Gabrielle Duval,tthierry@example.com,Cambodge,Pushto,2024-11-19,14,179,5,0,7,4,4,8,Direct
11,Édith Marion,guillaume51@example.com,Taiwan,Marshallese,2024-10-03,13,529,3,2,8,3,4,9,Direct
12,Jeanne du Pineau,alfredbigot@example.com,Martinique,Wolof,2024-08-10,8,647,1,0,6,0,5,24,Réseaux Sociaux
13,Alex du Gomes,godardguillaume@example.net,Gibraltar,Aragonese,2024-10-07,11,790,5,1,6,0,2,2,Direct
14,Roger Pruvost,arnaudebonnin@example.net,Cook (Îles),Herero,2024-10-19,13,1032,2,2,10,2,4,20,Direct
15,Zacharie Briand,lemaitreisabelle@example.org,Rép. Dém. du Congo,Tigrinya,2024-03-01,10,646,0,0,5,0,1,1,Recherche Organique
16,Anaïs-Anaïs Royer,vincent81@example.net,Nepal,Tajik,2024-04-03,9,100,2,0,7,0,5,10,Publicité
17,Anne Poulain,ines53@example.org,Estonie,Maltese,2024-06-01,5,1026,1,0,4,1,0,29,Publicité
18,Benoît Pinto,camille57@example.com,Tadjikistan,Maltese,2024-01-09,19,302,3,0,9,1,3,7,Réseaux Sociaux
19,Augustin Jean,michelle82@example.org,Côte d'Ivoire,Somali,2024-10-23,7,1089,2,0,4,2,0,26,Recherche Organique
20,Anouk Garnier,yves18@example.org,Haïti,Kazakh,2024-05-14,11,190,4,0,9,0,3,12,Publicité
21,Aurore Lelièvre,martineauzoe@example.net,Angola,Dzongkha,2024-10-19,8,255,2,0,5,2,4,8,Réseaux Sociaux
22,Richard Fabre,isabellepeltier@example.org,Gibraltar,Northern Sami,2024-11-03,9,874,0,0,9,0,1,9,Recherche Organique
23,Denis-Théodore Petitjean,anne16@example.com,Luxembourg,Indonesian,2024-11-04,1,371,0,0,0,0,0,0,Réseaux Sociaux
24,Margot Simon,descampsisabelle@example.org,Argentine,Greek,2024-09-30,2,672,1,0,1,0,0,4,Réseaux Sociaux
25,William Leblanc,cphilippe@example.com,Gabon,Kongo,2024-07-09,14,595,0,2,14,0,4,0,Recherche Organique
26,Alexandrie Renard,vincent89@example.org,Égypte,Kikuyu,2024-05-23,8,319,0,0,6,0,5,23,Réseaux Sociaux
27,Audrey Raynaud,zda-costa@example.com,Cayman (Îles),Persian,2024-05-13,9,1008,0,0,8,0,1,21,Recherche Organique
28,Alice-Gabrielle Mary,francoisbouvier@example.net,Antilles néerlandaises,Czech,2024-11-11,17,687,4,2,11,3,1,16,Direct
29,Noël Torres,ufaivre@example.com,Guyane française,Basque,2024-04-05,16,933,3,2,13,3,1,14,Publicité
30,Véronique-Camille Germain,anneperez@example.org,Cayman (Îles),Ojibwa,2024-01-29,10,1335,3,0,8,0,0,0,Réseaux Sociaux
31,Paul Dubois,lesageyves@example.com,Féroé (Îles),Afrikaans,2024-01-01,11,317,2,0,11,1,1,23,Recherche Organique
32,Patricia Martinez,martinezfranck@example.org,Mayotte,Polish,2024-02-29,5,470,0,0,5,0,0,21,Réseaux Sociaux
33,Matthieu Mercier,thibautjacquet@example.net,Croatie,Chichewa,2024-03-09,14,1244,0,2,12,0,0,16,Recherche Organique
34,Charles Le Cohen,pascalluce@example.com,Taiwan,Inupiaq,2024-01-02,8,1084,2,0,7,1,0,18,Réseaux Sociaux
35,Théophile Henry,moulinmargaret@example.org,Guyane,Oriya,2024-08-22,5,562,0,0,3,0,0,3,Réseaux Sociaux
36,Antoinette Laporte,aubertchantal@example.com,Cameroun,Spanish,2024-05-03,13,227,5,2,11,0,4,17,Publicité
37,Stéphane-Isaac Robert,guillaumeguillaume@example.com,Espagne,Kirghiz,2024-03-12,8,378,2,0,6,0,0,21,Publicité
38,Véronique Renard de Jean,perrierphilippine@example.org,Tuvalu,Inuktitut,2024-10-15,13,762,4,2,8,2,4,26,Recherche Organique
39,Alexandria Lacombe,francoise40@example.org,Martinique,Irish,2024-05-26,6,540,1,0,5,0,4,9,Recherche Organique
40,Dominique Perrin,lejeunemarianne@example.net,Rwanda,Cree,2024-09-13,1,403,0,0,1,0,0,4,Réseaux Sociaux
41,Lucas Valentin,monnierconstance@example.org,Liechtenstein,Sanskrit,2024-01-25,1,590,0,0,0,0,0,3,Publicité
42,Diane Adam,alexandrialeleu@example.org,Luxembourg,Manx,2024-11-13,17,1075,2,0,10,2,5,11,Direct
43,Adrienne-Élodie Delmas,guerinmarine@example.com,Tuvalu,Breton,2024-11-01,13,1133,5,2,11,4,2,25,Réseaux Sociaux
44,Margaud Lefèvre,bousquetsebastien@example.net,Micronésie (États fédérés de),Ossetian,2024-11-15,3,438,0,0,1,0,0,7,Réseaux Sociaux
45,Stéphane Leconte,christophe99@example.org,Vanuatu,Aymara,2024-05-10,2,223,1,0,2,1,0,3,Direct
46,Roland Jourdan,emmanuellelagarde@example.org,Zaïre,Kanuri,2024-11-24,12,100,4,0,12,2,2,8,Publicité
47,Margot Lebon Le Valette,smorin@example.com,Nigeria,Hausa,2024-07-02,15,531,3,2,12,2,0,13,Recherche Organique
48,Martine Chrétien-Voisin,gilbertanne@example.net,Argentine,Oromo,2024-11-18,21,100,1,1,13,1,4,3,Publicité
49,David Le Delaunay,pelletiermichele@example.com,Ghana,Corsican,2024-10-30,7,476,1,0,7,0,3,14,Réseaux Sociaux
50,Julien-Gérard Durand,francois50@example.net,Tuvalu,Walloon,2024-07-16,11,497,5,0,10,4,5,22,Recherche Organique
51,Alice Blondel,gillespasquier@example.org,Turkménistan,Telugu,2024-02-24,12,932,4,2,12,2,2,11,Direct
52,Olivie-Renée Chevallier,renaudbernard@example.net,Porto Rico,Manx,2024-10-02,12,1020,0,1,9,0,3,12,Publicité
53,Aimé Dupuis,kjulien@example.org,Costa Rica,Tonga,2024-11-25,12,359,2,2,7,1,3,19,Publicité
54,Martin Marion,eleonoreperrot@example.org,Oman,Romansh,2024-05-25,9,639,0,0,8,0,0,27,Direct
55,Olivier Leroy,godardremy@example.com,Turks et Caïques (Îles),Avaric,2024-06-08,10,293,0,0,8,0,3,9,Publicité
56,Adrien-Julien Marie,michelbarbier@example.org,Guyane,Macedonian,2024-02-29,20,297,1,1,20,0,5,30,Publicité
57,Amélie Paul,omathieu@example.org,Nouvelle-Zélande,Kongo,2024-10-28,12,1319,3,0,6,2,0,5,Publicité
58,Sébastien De Oliveira,gbourgeois@example.com,Kazakhstan,Haitian,2024-08-25,3,832,1,0,3,1,0,29,Réseaux Sociaux
59,Brigitte Grenier,mullersebastien@example.com,Mali,Kirghiz,2024-05-26,21,629,2,1,19,1,0,17,Recherche Organique
60,Alain Chrétien,kda-silva@example.com,Svalbard et Jan Mayen (Îles),Bashkir,2024-04-18,11,869,2,2,11,1,0,12,Réseaux Sociaux
61,Timothée Dijoux,alexcolin@example.com,Turks et Caïques (Îles),Maori,2024-07-26,10,880,4,0,5,1,2,12,Recherche Organique
62,Henri Charrier,chauveauthibaut@example.org,Chine (Rép. pop.),Somali,2024-06-29,10,576,1,0,10,1,0,9,Réseaux Sociaux
63,Margot Hoareau,christinebonnet@example.com,Kenya,Ossetian,2024-10-21,10,100,0,0,9,0,5,8,Réseaux Sociaux
64,Grégoire Daniel,nathaliebruneau@example.org,Allemagne,Hebrew,2024-08-08,11,865,0,0,11,0,2,19,Réseaux Sociaux
65,Roland Cousin,zmarques@example.com,Porto Rico,Sindhi,2024-05-16,12,208,5,0,11,2,0,10,Publicité
66,Benoît Tessier,margaretdevaux@example.org,Roumanie,Gujarati,2024-03-08,12,987,4,1,9,0,5,9,Recherche Organique
67,Simone-Marie Launay,wmeunier@example.com,Autriche,Chichewa,2024-05-05,2,681,0,0,1,0,0,23,Direct
68,David Rodriguez de Faivre,suzanne60@example.org,Belgique,Polish,2024-08-07,11,179,1,1,10,1,5,16,Direct
69,Pénélope Marion,valeriedelattre@example.org,Togo,Burmese,2024-02-02,16,117,4,1,8,1,5,23,Direct
70,Jean Adam,hmartineau@example.net,Bermudes (Les),Finnish,2024-03-04,11,949,4,1,11,2,2,11,Direct
71,Zacharie Bertrand,valerie19@example.com,Indonésie,Fijian,2024-09-23,6,195,3,0,6,1,1,28,Réseaux Sociaux
72,Valérie Denis,jacquotjeanne@example.org,Montserrat,Latvian,2024-09-10,1,1276,0,0,1,0,0,24,Direct
73,Anouk Diallo-Bouvet,baillyelise@example.com,Estonie,Xhosa,2024-11-17,12,808,0,1,11,0,5,17,Réseaux Sociaux
74,Alex Royer,michellegimenez@example.org,Swaziland,Afar,2024-08-16,12,535,2,1,6,0,3,24,Publicité
75,Emmanuel Salmon,hmartineau@example.net,Yemen,South Ndebele,2024-08-23,13,100,5,0,10,4,4,20,Recherche Organique
76,Michelle Morel,gpereira@example.com,Trinité et Tobago,Kikuyu,2024-09-12,11,241,1,1,7,0,2,19,Direct
77,Camille Munoz,noelbegue@example.org,El Salvador,Ganda,2024-03-27,13,216,0,2,12,0,3,5,Publicité
78,Tristan Jacquot,sebastien53@example.com,Botswana,Kinyarwanda,2024-01-31,14,949,4,0,14,2,2,4,Réseaux Sociaux
79,Georges Pereira de Guyot,theodorelemaitre@example.net,Vatican (Etat du),English,2024-10-11,1,770,0,0,0,0,0,18,Réseaux Sociaux
80,Olivier-Pierre Guilbert,boulaysebastien@example.net,Pitcairn (Îles),Tagalog,2024-04-23,11,446,2,1,9,2,0,5,Réseaux Sociaux
81,Xavier Jean,beguelucie@example.org,Suriname,Slovenian,2024-04-15,4,994,1,0,4,1,0,20,Recherche Organique
82,Raymond Clerc,marechalchantal@example.org,Irlande,Hausa,2024-08-31,7,495,3,0,4,0,0,28,Publicité
83,Jacques Garcia,celinecarre@example.org,Tunisie,Polish,2024-06-12,7,539,1,0,7,1,3,25,Publicité
84,Cécile Blot-Lacombe,amorvan@example.org,Papouasie-Nouvelle-Guinée,Walloon,2024-03-21,11,938,1,1,11,1,4,3,Réseaux Sociaux
85,Célina de la Lelièvre,arnaudeperrin@example.org,El Salvador,Luba-Katanga,2024-05-29,12,527,4,0,9,2,3,6,Direct
86,Agnès Charrier de Marty,qdescamps@example.net,Trinité et Tobago,Quechua,2024-09-29,8,314,4,0,5,2,4,6,Publicité
87,Odette Louis,guiberteric@example.com,Corée du Nord,"Sotho, Southern",2024-01-18,13,217,2,0,13,1,0,0,Recherche Organique
88,Luc Gilbert,brunetjoseph@example.com,Afghanistan,Ukrainian,2024-01-17,1,329,0,0,1,0,0,13,Publicité
89,Frédérique-Catherine Rodriguez,xavier86@example.org,Zaïre,Ewe,2024-04-05,1,334,0,0,0,0,0,4,Recherche Organique
90,Henriette du Roy,fredericgregoire@example.org,Russie,Somali,2024-06-06,13,408,4,1,11,4,1,23,Publicité
91,Frédéric Antoine,alice65@example.net,Libéria,Gaelic,2024-09-20,9,707,3,0,9,0,4,12,Recherche Organique
92,Gabriel Paris du Gimenez,philippemaury@example.net,Gambie,Hebrew,2024-03-08,10,482,1,0,9,0,4,7,Publicité
93,Daniel Becker-Da Costa,augusterichard@example.org,Seychelles,Kalaallisut,2024-08-14,7,848,2,0,7,0,3,7,Recherche Organique
94,Gérard Wagner,voisinemmanuel@example.org,Tuvalu,Walloon,2024-09-07,9,794,1,0,9,0,2,10,Direct
95,Stéphanie Leconte,margot98@example.org,Guyane,Rundi,2024-09-18,12,968,5,1,10,2,5,12,Réseaux Sociaux
96,Jules Barthelemy,llefort@example.com,Nouvelle Calédonie,Kongo,2024-02-29,7,1117,1,0,3,0,5,16,Recherche Organique
97,Amélie Peltier-Delaunay,sebastienvaillant@example.com,Sainte Lucie,Ewe,2024-07-21,8,605,3,0,6,2,1,1,Publicité
98,Adélaïde Potier,marianne22@example.com,Gabon,Telugu,2024-08-25,13,539,2,2,13,2,2,1,Publicité
99,Gilbert Delorme,claudetessier@example.org,Mayotte,Lao,2024-05-23,2,630,1,0,1,1,0,18,Publicité
100,Claudine Muller de Tanguy,patrickjacquet@example.com,Jordanie,Afrikaans,2024-09-27,17,743,4,1,12,0,0,17,Recherche Organique
101,René Muller,tristan37@example.org,Guyane,Catalan,2024-07-29,8,627,3,0,4,0,0,8,Recherche Organique
102,Arthur Didier,reneedelmas@example.org,Jamaïque,Tsonga,2024-01-24,8,115,2,0,5,2,3,25,Publicité
103,Anastasie Georges,oliviermaurice@example.net,Falkland (Île),Ido,2024-03-08,9,1155,4,0,5,1,0,2,Réseaux Sociaux
104,Théodore Le Pruvost,denistoussaint@example.org,Guadeloupe,Nepali,2024-11-20,10,666,5,0,5,4,1,16,Direct
105,Laetitia Besnard-Turpin,julietteschneider@example.net,Territoires français du sud,Telugu,2024-11-23,8,100,0,0,4,0,3,23,Publicité
106,Étienne Wagner Le Maréchal,louise51@example.com,Pakistan,Yoruba,2024-11-02,2,881,1,0,1,1,0,29,Réseaux Sociaux
107,Nicolas Millet,julie06@example.com,Kiribati,Persian,2024-08-30,13,743,5,0,7,0,0,20,Réseaux Sociaux
108,Laure Pires,valerie52@example.org,Ukraine,Divehi,2024-05-08,14,583,4,0,7,4,4,1,Recherche Organique
109,Adrien Bourdon de Peltier,edith40@example.net,Belgique,English,2024-11-15,10,621,4,0,7,2,0,14,Direct
110,Édith Morel,aimee20@example.com,Singapour,Inuktitut,2024-07-04,8,878,0,0,4,0,1,20,Recherche Organique
111,Marie Michel,lucaspineau@example.com,Nigeria,Zhuang,2024-09-05,2,1102,0,0,1,0,0,25,Publicité
112,Thibaut Ollivier-Boulay,renee92@example.com,Pologne,Bulgarian,2024-04-17,5,813,2,0,4,1,0,5,Recherche Organique
113,Philippine Rousset-Da Costa,theodoredupont@example.org,Slovaquie,Aragonese,2024-05-25,8,387,0,0,6,0,3,26,Direct
114,Julien Thierry du Blanc,moniquemahe@example.com,Yemen,Polish,2024-05-21,15,359,4,2,15,1,2,6,Publicité
115,Maggie Moulin-Renard,verdiersuzanne@example.net,Belize,Lingala,2024-05-28,6,1101,3,0,6,0,2,1,Direct
116,Julien Voisin,xsauvage@example.net,Brunei,Avaric,2024-10-28,6,533,2,0,4,1,4,23,Direct
117,Bertrand Le Roux,hortense11@example.com,Pérou,Rundi,2024-11-12,13,723,0,2,7,0,4,0,Publicité
118,Laurent Chevallier,sbonnet@example.com,Vierges britanniques (Îles),Croatian,2024-04-13,9,992,3,0,7,0,4,8,Publicité
119,Denis Monnier,lorraine37@example.net,Réunion (La),Tibetan,2024-06-15,14,129,0,0,13,0,4,30,Réseaux Sociaux
120,Guy Didier,josephinemoreau@example.org,Macédoine du Nord,North Ndebele,2024-05-19,7,855,3,0,3,0,4,30,Publicité
121,Henri Hamon,martinezalfred@example.com,Samoa,Ukrainian,2024-04-16,14,794,3,2,13,1,1,0,Réseaux Sociaux
122,Constance-Michelle Mallet,morinmarianne@example.net,Turquie,Arabic,2024-01-29,8,1090,2,0,8,0,5,20,Recherche Organique
123,Jules Lacroix,costagabriel@example.org,Belize,Tonga,2024-02-11,11,751,5,2,6,4,0,3,Réseaux Sociaux
124,Geneviève Poirier,xlambert@example.org,Guyane,Persian,2024-03-06,7,706,1,0,7,1,3,13,Direct
125,Rémy Couturier,arthur66@example.com,El Salvador,Turkish,2024-03-13,15,154,3,0,8,3,4,10,Recherche Organique
126,William-Luc Caron,creynaud@example.org,Italie,Manx,2024-02-06,11,429,0,2,8,0,5,6,Recherche Organique
127,Frédéric Picard du Dijoux,hde-sousa@example.org,Territoire britannique de l'océan Indien,Marshallese,2024-07-09,9,501,3,0,5,3,1,0,Direct
128,André Lacombe,morinjeannine@example.com,Territoire britannique de l'océan Indien,Armenian,2024-06-22,10,395,3,0,9,1,2,29,Recherche Organique
129,Simone de la Colin,michelalbert@example.com,Italie,Dutch,2024-09-26,4,336,1,0,4,0,0,21,Recherche Organique
130,Marthe-Alex Pires,salmoncorinne@example.org,États-Unis,French,2024-01-27,8,815,3,0,8,0,0,21,Recherche Organique
131,Isaac Neveu,lgermain@example.org,Togo,Luxembourgish,2024-05-23,10,798,4,0,9,3,1,24,Publicité
132,Théophile du Lacroix,davidteixeira@example.com,Cameroun,Ewe,2024-10-16,9,405,2,0,9,2,0,1,Direct
133,Marie Neveu-Lecoq,shamel@example.com,Soudan,Chinese,2024-11-26,12,131,3,1,6,0,0,9,Publicité
134,Aimée Bègue,margaud15@example.net,Yougoslavie,Burmese,2024-04-28,12,190,3,1,12,3,3,18,Recherche Organique
135,Auguste Lebon,fournierjeannine@example.com,Falkland (Île),Romanian,2024-05-16,9,959,2,0,6,2,4,4,Direct
136,Christelle Lenoir,cecilegregoire@example.org,Chypre,Kannada,2024-06-08,18,789,3,2,16,2,3,28,Direct
137,Lucas Mendès-Moreau,auroreriviere@example.com,Uruguay,Tonga,2024-10-28,14,595,0,0,10,0,2,1,Direct
138,Guy Coste de la Rousseau,valentinhelene@example.com,Suisse,Polish,2024-04-14,4,704,0,0,2,0,0,22,Direct
139,Denise Payet,danielle35@example.com,Islande,Telugu,2024-10-15,6,1073,1,0,6,0,5,26,Direct
140,Brigitte de la Gimenez,anais14@example.com,Chypre,Danish,2024-04-07,13,533,2,2,9,0,0,26,Réseaux Sociaux
141,Émile de Lebreton,jacques71@example.org,Hong Kong,Korean,2024-04-11,6,1032,0,0,3,0,1,7,Direct
142,Antoine Muller,qlesage@example.com,Libéria,Sindhi,2024-02-19,9,897,2,0,9,2,5,21,Recherche Organique
143,Andrée du Deschamps,capucine75@example.org,Îles Mineures Éloignées des États-Unis,English,2024-10-30,3,470,1,0,2,1,0,3,Direct
144,Benoît Jacquot,xavier64@example.org,Svalbard et Jan Mayen (Îles),Kazakh,2024-04-29,15,772,1,2,9,1,3,21,Réseaux Sociaux
145,Corinne de la Gallet,zle-goff@example.com,Sahara Occidental,Norwegian,2024-06-17,7,1016,1,0,3,0,4,21,Réseaux Sociaux
146,Nicolas Lévy,maryse56@example.net,Burundi,German,2024-02-13,16,516,2,2,10,1,4,28,Réseaux Sociaux
147,William Raymond,anouk40@example.com,Philippines,Kikuyu,2024-01-07,18,749,1,2,18,1,3,8,Publicité
148,Eugène-Alfred Ollivier,zpierre@example.com,Palau,Uighur,2024-08-30,16,313,1,1,14,0,2,20,Direct
149,Julien Marty de Lenoir,jean57@example.net,Malte,Divehi,2024-04-07,6,402,1,0,4,0,2,30,Publicité
150,Pénélope Chevallier,gimenezjacques@example.com,Gambie,Nepali,2024-08-14,21,530,2,0,12,1,1,9,Recherche Organique
151,Bertrand Rossi,schmittroger@example.com,Tuvalu,North Ndebele,2024-09-24,4,367,1,0,2,0,0,19,Direct
152,Lorraine Ramos-Fabre,oandre@example.com,Russie,Faroese,2024-04-26,18,100,1,1,17,0,1,20,Direct
153,Maryse Leclercq,lucpires@example.net,Nicaragua,Inuktitut,2024-02-02,6,809,0,0,5,0,1,30,Recherche Organique
154,Monique Pascal-Baron,wpineau@example.net,Libye,Persian,2024-05-27,16,769,4,0,15,0,0,25,Recherche Organique
155,Charlotte Fontaine,wletellier@example.org,Mali,Aymara,2024-07-31,10,1105,3,0,10,1,3,26,Publicité
156,Mathilde Loiseau de Charrier,clemence54@example.org,Mayotte,Pali,2024-08-08,15,804,5,0,9,4,3,28,Direct
157,Lorraine Lambert,ferrandbrigitte@example.net,Guyane,Chinese,2024-02-14,9,627,3,0,6,0,2,5,Réseaux Sociaux
